VARIABLE AA;LIBELLE ACTUEL;NOUVEAU LIBELLE;NOM TECHNIQUE;
event153;Nombre de refus d'accès au contacts pour paylib;Nombre de refus d'accès au contacts pour paylib (event153);event.event_name;
event154;Nombre de validation de saisie de nouveau contact pour paylib / wero;Nombre de validation de saisie de nouveau contact pour paylib / wero (event154);event.event_name;
evar88;Statut réception d'argent (evar88);Wero - statut reception argent (evar88);;
event268;Refus d'une demande reçue (event268);Wero - refus demande recue (event268);event.event_name;
event290;Désactivation réception argent Wero (event290);Wero desactivation reception argent (event290);event.event_name;
event291;Suppression compte Wero (event291);Wero - suppression compte (event291);event.event_name;
event292;Désactivation service Wero (event292);Wero - desactivation service wero (event292);event.event_name;
event295;Activation réception argent Wero (event295);Wero - activation reception argent (event295);event.event_name;
event269;Partager les contacts wero (event269);wero - partage des contacts (event269);event.event_name;
event121;Acceptation effets a payer;Virements B2B - accpetation effets a payer (event121);event.event_name;
event122;Refus effets a payer;Virements B2B - refus effets a payer (event122);event.event_name;
evar11;ABTesting 1 (evar11);ABTesting 1 (evar11);;
evar12;ABTesting 2 (evar12);ABTesting 2 (evar12);;
evar95;ABTesting 3 (eVar95);ABTesting 3 (eVar95);vignette.nom;
evar96;ABTesting 4 (eVar96);ABTesting 4 (eVar96);vignetteVignette;
evar97;ABTesting 5 (eVar97);ABTesting 5 (eVar97);vignetteVignette;
evar98;ABTesting 6 (eVar98);ABTesting 6 (eVar98);bannerAffichage;
evar49;Campagne autopromo cliquée (evar49);Autopromo : Nom de la bannière cliquée (evar49);affichageAffichage;
evar49.clic-ap-libelle-campagne;Clic AP Libelle campagne (Clic campagne autopromo (evar49));Autopromo : Libellé de la campagne cliquée (evar49);;
evar49.clic-ap-id-campagne;Clic AP ID campagne (Clic campagne autopromo (evar49));Autopromo : ID de la campagne cliquée (evar49);;
evar49.clic-ap-categorie;Clic AP Categorie (Clic campagne autopromo (evar49));Autopromo : Catégorie de la campagne cliquée (evar49);;
evar49.clic-ap-emplacement;Clic AP Emplacement (Clic campagne autopromo (evar49));Autopromo : Emplacement de la campagne cliquée (evar49);;
evar49.clic-code-produit;Clic AP Priorité (Clic campagne autopromo (evar49));Autopromo : Priorité de la campagne cliquée (evar49);;
evar49.clic-ap-capping-affichage-para;Clic AP Capping affichage paramétré (Clic campagne autopromo (evar49));Autopromo : Capping d'affichage de la campagne cliquée (evar49);;
evar49.clic-ap-capping-clic-parametre;Clic AP capping clic paramétré (Clic campagne autopromo (evar49));Autopromo : Capping de clic de la campagne cliquée (evar49);;
evar49.clic-ap-type-campagne;Clic AP type campagne (Clic campagne autopromo (evar49));Autopromo : Type de la campagne cliquée (evar49);;
evar49.clic-ap-nom-segment-kameleoon;Clic AP nom segment Kameleoon (Clic campagne autopromo (evar49));Autopromo : Nom du segment de la campagne cliquée (evar49);;
evar49.clic-ap-code-produit;Clic AP Objectif (Clic campagne autopromo (evar49));Autopromo : Objectif de la campagne cliquée (evar49);;
event28;impression vignette (event28);Autopromo : Impression bannière (event28);event.event_name;
event29;Clic vignette (event29);Autopromo : Clic bannière (event28);event.event_name;
event40;Capping affichage atteint;Autopromo : Capping affichage atteint (event40);event.event_name;
event41;Capping clic atteint;Autopromo : Capping clic atteint (event41);event.event_name;
event49;Ne plus afficher banniere (event49);Autopromo : Evenement client : Ne plus afficher la bannière (event41);event.event_name;
event6;Affichage popin autopromo;Autopromo : Evenement client : Affichage popin;event.event_name;
LIST1;Suivi vignettes (list1);Autopromo : Suivi bannières (list1);custom.vignetteListe;
LIST3;Segments CRM Kameleoon (list3);Autopromo : Segments CRM (list3);custom.vignetteListe3;
evar65;Critères (evar65);Budget - Critère du filtre appliqué sur coach (evar65);custom.criteres;à partir d'ici la démarche pour la typo de donnée à changer.
event52;Seuil de l'alerte renseigné par le client;Budget - Seuil de l'alerte renseigné par le client (event52);event.event_name;
event149;Nombre d'activation de notifications ;Budget - Nombre d'activations de notifications (event149);event.event_name;
event150;Nombre de désactivation de notifications ;Budget - Nombre de désactivations de notifications (event150);event.event_name;
evar183;Methode de contact de notification;Budget - Methode de contact de notification (evar183);pages.template;
evar192;Catégorie et nom alerte;Budget - Catégorie & nom d'alerte (evar192);clics.template;
event341;Souscription a tirelire;Comptes - Souscription a tirelire (event341);event.event_name;
event342;Creation d'une tirelire;Comptes - Creation d'une tirelire (event342);event.event_name;
event343;Suppression d'une tirelire;Comptes - Suppression d'une tirelire (event343);event.event_name;
evar132;Caracéristiques Agrégation;Comptes - Caractéristiques Agrégation (evar132);custom.topDetentionPart;
event222;Agrégation compte réussie (event222);Comptes - Agrégation de compte réussie (event222);event.event_name;
event218;Univers produit resilie;Comptes - Connexion banque externe réussie (event218);event.event_name;
prop12;Type d'opération;Comptes - Type d'opération (prop12);custom.versionSyntheseCompte;
evar156;Version synthese des comptes;Comptes - Version synthèse des comptes (evar156);custom.versionSyntheseCompte;
evar162;Type de recategorisation;Comptes - Type de recatégorisation (evar162);custom.typeDeRecategorisation;
evar163;Libelle du produit du producteur;Comptes - Libellé du produit du producteur (evar163);custom.libelleProducteur;
evar175;compte meniga synchonisation;Comptes - État de la synchronisation meniga (evar175);custom.menigaSynchronisation;
evar73;Nature du compte (evar73);Comptes - Marché et nature du comptes (evar73);custom.natureCompte;
evar77;Famille de produit;Comptes - Famille de produit (evar77);productFamilyPFM;
evar78;Sous-famille de produit;Comptes - Sous-famille de produit (evar78);subProductFamilyPFM;
event115;Succès suppression banque;Comptes - Succès suppression banque (event115);event.event_name;
event116;Nombre modification de libelle de compte;Comptes - Nombre modification de libelle de compte (event116);event.event_name;
event126;Suppression comptes destinataires;Comptes - Suppression comptes destinataire (event126);event.event_name;
event128;Modification droits utilisateurs et delegation signature;Comptes - Modification droits utilisateurs et delegation signature (event128);event.event_name;
event129;Création de liste de compte;Comptes - Création de liste de comptes (event129);event.event_name;
event132;Nombre de suppression de liste;Comptes - Nombre de suppression de liste (event132);event.event_name;
event133;Nombre de modification de liste;Comptes - Nombre de modification de liste (event133);event.event_name;
event134;Nombre de modification d'ordre de liste;Comptes - Nombre de modification d'ordre de liste (event134);event.event_name;
event142;Nombre de modification de liste;Comptes - Nombre de recatégorisations d'opérations bancaires (event142);event.event_name;
event143;Nombre d'activation des fonctionnalites avancees;Comptes - Nombre d'activation des fonctionnalites avancees (event143);event.event_name;
event144;Nombre de desactivation des fonctionnalites avancees;Comptes - Nombre de desactivation des fonctionnalites avancees (event144);event.event_name;
event145;Nombre de telechargement des operations de comptes;Comptes - Nombre de telechargement des operations de comptes (event145);event.event_name;
event181;Eligibilite postpaiement (event181);Comptes - Dépenses à étaler (event181);event.event_name;
event210;Activation toggle etalement des paiements ;Comptes - Activation toggle etalement des paiements (event210);event.event_name;
